Date / Time,City,State,Shape,Duration,Summary,Posted
8/4/20 22:40,Maryville,TN,Diamond,5+ min,"Strange diamond shaped light sits in sky, then begins to move",1/19/21
8/4/20 22:00,Miami Beach,FL,Fireball,1 minute,"High altitude fast moving delta shaped flames.  ((NUFORC Note:  The ""dragon"" capsule had already landed, two days earlier.  PD))",8/6/20
8/4/20 20:30,Mesa,AZ,Circle,2 minutes,I observed a white ball of light flying from the West sky towards the East it crossed paths with a passenger plane where it paused and,8/6/20
8/4/20 20:19,Dallas,TX,Cigar,~20 minutes,Lone massive object in the sky.,8/6/20
8/4/20 15:39,Edmonds,WA,,,MADAR Node 61,8/20/20
8/4/20 11:00,Norfolk,VA,Other,1 hour,"August ,4, 2020, mid day, seen best with binoculars, a stationary angular object, reflecting the sun's light.",8/6/20
8/4/20 05:15,Glasgow,KY,Circle,10 minutes,UFOs between Glasgow KY and Bowling Green KY,8/6/20
8/4/20 03:00,Madison,WI,Triangle,1.5 hours,Large triangle object/ craft emitting extremely bright light and deploying smaller lights/ objects,8/6/20
8/4/20 01:05,Clarksville,TN,,,MADAR Node 138,8/20/20
8/4/20 01:00,Little Lake,CA,Light,2 minutes,"My boyfriend and I were driving on a remote section of highway 395, it was a clear night with a bright moon. We were heading north towa",11/5/20
8/4/20 00:23,Cloverdale,CA,Other,20 seconds,Star like yellow object that quickly accelerated before making a startling disappearance.,8/20/20
8/3/20 23:40,Bastrop,TX,Diamond,10 minutes plus,Watched multicolored object in sky move oddly for over 10 minutes.,8/6/20
8/3/20 23:30,Woodburn,OR,Sphere,~3 minutes,"Cluster of small, flashing red lights high in the sky followed by spheres of bright light moving up/down near horizon",8/6/20
8/3/20 22:33,Uniontown,PA,Sphere,3 minutes,Sphere shaped object changes color drops something and slowly disappears!!,8/6/20
8/3/20 21:35,Kittery,ME,Other,5 minutes,White dot at cruising altitude moving in a zig zagged linear direction.,8/6/20
8/3/20 21:05,Escondido,CA,Oval,10 minutes,"I was walking my dog this evening, like I've done every evening for 20 years in my neighborhood. Tonight as we were walking on platanus",8/6/20
8/3/20 21:00,Collegeville,PA,Circle,2 minutes,"A circular red ball was slowly flying west for about 45 seconds, then stopped and proceeded to fly northwest  and out of the atmosphere",8/6/20
8/3/20 20:55,Irvine,CA,Light,12 seconds,Star-type object began slowly moving across sky and then suddenly vanished,8/6/20
8/3/20 19:40,Thornton,CO,Changing,1 hour,My brother's girlfriend went to let the dogs outside. She looked up and thought it odd that there was such a birght star in the dayligh,8/6/20
8/3/20 19:30,Arbuckle,CA,Sphere,30 minutes,((NUFORC Note:  Witness provides no information.  PD)),8/6/20
8/3/20 18:00,Las Vegas,NV,Circle,30 minutes,Observed a silver point of light at extremely high altitude hold a position over las Vegas for fifteen minutes before slowly moving to,9/4/20
8/3/20 16:00,Stafford,VA,Other,20 seconds,"Fast moving objects over Stafford, Virginia 4PM 08/03/2020 during a storm cloud video",8/6/20
8/3/20 13:00,Rochester,NH,Circle,1 minute,"Ok so,I was sitting on my couch with the door open. Then I heard a strange noise coming from outside, at first I thought it was a plane",8/6/20
8/3/20 11:15,Littlerock,CA,,,MADAR Node 56,8/20/20
8/3/20 09:00,Weymouth,MA,Disk,All day,Black Objects Were Seen in the Sky Before the Storm,8/20/20
8/3/20 03:59,Moran,WY,Diamond,30 minutes,Check Turpin meadow Ranch Live cam 3:57 am thru 4:30am mst.   It will only remain as part of the recorded live stream until 3:pm.   Do,8/6/20
8/3/20 03:00,Seneca Falls,NY,,,"Will be submitting two photos of bright object in sky taken on August 6, 2020 approximately at 3 am in Seneca Falls NY.",8/6/20
